MatchDay,Date,Time,LeagueJC,HomeTeamJC,AwayTeamJC,CHL_LINE,CHL_H,CHL_L,prob_hi,prob_lo,kelly_hi,kelly_lo,kelly,bet,*
SAT101,2021-09-19,03:00:00,Spanish Division 1 [SFL],Alaves,Osasuna,8.5,1.93,1.77,0.45,0.55,-0.14,-0.04,,,
SAT102,2021-09-19,03:00:00,French Division 1 [FFL],St. Etienne,Bordeaux,12.5,4.3,1.17,0.23,0.77,0,-0.57,,,
SUN20,2021-09-19,21:00:00,French Division 1 [FFL],Troyes,Montpellier,10.5,2.43,1.49,0.35,0.65,-0.11,-0.06,,,
SUN21,2021-09-19,21:00:00,French Division 1 [FFL],Angers SCO,Nantes,12.5,4.75,1.14,0.15,0.85,-0.07,-0.25,,,
SUN23,2021-09-19,21:00:00,French Division 1 [FFL],Reims,Lorient,10.5,2.5,1.46,0.37,0.63,-0.04,-0.19,,,
FRI4,2021-09-18,00:30:00,German Division 2 [GD2],Schalke 04,Karlsruher,13.5,5.1,1.12,0.12,0.88,-0.09,-0.12,,,
SAT24,2021-09-18,19:30:00,German Division 2 [GD2],Holstein Kiel,Hannover,10.5,2.25,1.57,0.38,0.62,-0.11,-0.05,,,
SAT25,2021-09-18,19:30:00,German Division 2 [GD2],Sandhausen,Heidenheim,13.5,4.3,1.17,0.21,0.79,-0.03,-0.43,,,
SAT96,2021-09-19,02:30:00,German Division 2 [GD2],Werder Bremen,Hamburg,10.5,2.15,1.62,0.41,0.59,-0.1,-0.07,,,
SAT32,2021-09-18,21:30:00,German Division 1 [GSL],Bayern Munich,Bochum,14.5,4.55,1.15,0.14,0.86,-0.11,-0.05,,,
SAT33,2021-09-18,21:30:00,German Division 1 [GSL],Augsburg,Monchengladbach,12.5,4.15,1.18,0.15,0.85,-0.12,0,,,
SAT34,2021-09-18,21:30:00,German Division 1 [GSL],Bielefeld,Hoffenheim,12.5,4.05,1.19,0.22,0.78,-0.03,-0.4,,,
SAT35,2021-09-18,21:30:00,German Division 1 [GSL],Mainz,Freiburg,9.5,2.02,1.7,0.43,0.57,-0.13,-0.04,,,
SAT81,2021-09-19,00:30:00,German Division 1 [GSL],Cologne,RB Leipzig,9.5,1.95,1.75,0.47,0.53,-0.09,-0.09,,,
FRI16,2021-09-18,02:45:00,Italian Division 1 [ISA],Sassuolo,AC Torino,10.5,2.17,1.61,0.46,0.54,-0.01,-0.21,,,
SAT27,2021-09-18,21:00:00,Italian Division 1 [ISA],Genoa,Fiorentina,9.5,2.02,1.7,0.48,0.52,-0.03,-0.17,,,
SAT73,2021-09-19,00:00:00,Italian Division 1 [ISA],Inter Milan,Bologna,11.5,2.5,1.46,0.38,0.62,-0.04,-0.19,,,
